"LG_Dortmund_25_O_5-11";"freq";"simple";"manuel";"comment"
"1 BVR 340908";1;"1bvr340908";"1 BVR 340908";""
"1 BVR 92808";1;"1bvr92808";"1 BVR 92808";""
"1 GWB";2;"1gwb";"1 GWB";""
"21 Abs 1 GWB";1;"21abs1gwb";"21 Abs 1 GWB";""
"287 Abs 1 ZPO";1;"287abs1zpo";"287 Abs 1 ZPO";""
"32 GWB";1;"32gwb";"32 GWB";""
"33 Abs 1 S 3 GWB";1;"33abs1s3gwb";"33 Abs 1 S 3 GWB";""
"33 Abs 3 GWB";1;"33abs3gwb";"33 Abs 3 GWB";""
"33 Abs 3 S 1 GWB";1;"33abs3s1gwb";"33 Abs 3 S 1 GWB";""
"33 Abs 4 GWB";3;"33abs4gwb";"33 Abs 4 GWB";""
"709 ZPO";1;"709zpo";"709 ZPO";""
"nachgehend BGH Kartellsenat 12 07 2016 KZR 2514";1;"nachgehendbghkartellsenat12072016kzr2514";"nachgehend BGH Kartellsenat 12 07 2016 KZR 2514";""
