"LG_Hannover_18_O_259-14";"freq";"simple";"manuel";"comment"
"1 GWB";4;"1gwb";"1 GWB";""
"133 Abs 1 Satz 1 UmwG";1;"133abs1satz1umwg";"133 Abs 1 Satz 1 UmwG";""
"195 BGB";1;"195bgb";"195 BGB";""
"199 Abs 1 BGB";1;"199abs1bgb";"199 Abs 1 BGB";""
"199 Abs 1 Nr 1 BGB";1;"199abs1nr1bgb";"199 Abs 1 Nr 1 BGB";""
"199 Abs 3 BGB";1;"199abs3bgb";"199 Abs 3 BGB";""
"199 Abs 3 Nr 1 BGB";1;"199abs3nr1bgb";"199 Abs 3 Nr 1 BGB";""
"204 Abs 2 BGB";1;"204abs2bgb";"204 Abs 2 BGB";""
"246 BGB";1;"246bgb";"246 BGB";""
"286 Abs 2 Nr 4 BGB";1;"286abs2nr4bgb";"286 Abs 2 Nr 4 BGB";""
"288 Abs 1 Satz 2 BGB";1;"288abs1satz2bgb";"288 Abs 1 Satz 2 BGB";""
"288 Abs 2 BGB";1;"288abs2bgb";"288 Abs 2 BGB";""
"291 BGB";1;"291bgb";"291 BGB";""
"298 StGB";4;"298stgb";"298 StGB";""
"304 ZPO";2;"304zpo";"304 ZPO";""
"31 BGB";2;"31bgb";"31 BGB";""
"33 Abs 3 Satz 4 GWB";1;"33abs3satz4gwb";"33 Abs 3 Satz 4 GWB";""
"33 Abs 4 GWB";3;"33abs4gwb";"33 Abs 4 GWB";""
"33 Abs 5 GWB";4;"33abs5gwb";"33 Abs 5 GWB";""
"33 Abs 5 Satz 2 GWB";1;"33abs5satz2gwb";"33 Abs 5 Satz 2 GWB";""
"33 GWB";6;"33gwb";"33 GWB";""
"840 BGB";1;"840bgb";"840 BGB";""
"849 BGB";4;"849bgb";"849 BGB";""
"BGH 10072014 IX ZR 19712";1;"bgh10072014ixzr19712";"BGH 10072014 IX ZR 19712";""
"BGH 16 01 1991 VIII ZR 1490";2;"bgh16011991viiizr1490";"BGH 16 01 1991 VIII ZR 1490";""
"BGH 28 06 2011 KZR 7510";1;"bgh28062011kzr7510";"BGH 28 06 2011 KZR 7510";""
"BGH 8 Zivilsenat 16 01 1991 VIII ZR 1490";1;"bgh8zivilsenat16011991viiizr1490";"BGH 8 Zivilsenat 16 01 1991 VIII ZR 1490";""
"BGH GRUR 2012 291";1;"bghgrur2012291";"BGH GRUR 2012 291";""
"BGH Kartellsenat 28 06 2011 KZR 7510";1;"bghkartellsenat28062011kzr7510";"BGH Kartellsenat 28 06 2011 KZR 7510";""
"BGH NJW 2008 1084";1;"bghnjw20081084";"BGH NJW 2008 1084";""
"BGH NJWRR 2008 918";1;"bghnjwrr2008918";"BGH NJWRR 2008 918";""
"BGHZ 190 145";4;"bghz190145";"BGHZ 190 145";""
"nachgehend OLG Celle 1 Kartellsenat 14 08 2018 13 U 10516 Kart";1;"nachgehendolgcelle1kartellsenat1408201813u10516kart";"nachgehend OLG Celle 1 Kartellsenat 14 08 2018 13 U 10516 Kart";""
"OLG Karlsruhe 31 07 2013 6 U 5112 Kart";1;"olgkarlsruhe310720136u5112kart";"OLG Karlsruhe 31 07 2013 6 U 5112 Kart";""
"OLG Karlsruhe Kartellsenat 31 07 2013 6 U 5112 Kart";1;"olgkarlsruhekartellsenat310720136u5112kart";"OLG Karlsruhe Kartellsenat 31 07 2013 6 U 5112 Kart";""
"So auch LG Dortmund 8 Zivilkammer 28 06 2017 8 O 2516 Kart";1;"soauchlgdortmund8zivilkammer280620178o2516kart";"So auch LG Dortmund 8 Zivilkammer 28 06 2017 8 O 2516 Kart";""
"ZoellerGreger ZPO 30 Aufl  256";1;"zoellergregerzpo30aufl256";"ZoellerGreger ZPO 30 Aufl  256";""
