"LG_Köln_90_O_1-11";"freq";"simple";"manuel";"comment"
"108 ZPO";1;"108zpo";"108 ZPO";""
"138 Abs 3 ZPO";1;"138abs3zpo";"138 Abs 3 ZPO";""
"252 BGB";2;"252bgb";"252 BGB";""
"287 ZPO";2;"287zpo";"287 ZPO";""
"33 Abs 3 GWB";1;"33abs3gwb";"33 Abs 3 GWB";""
"33 Abs 4 GWB";3;"33abs4gwb";"33 Abs 4 GWB";""
"33 GWB";1;"33gwb";"33 GWB";""
"709 S 1";1;"709s1";"709 S 1";""
"823 Abs 2 BGB";1;"823abs2bgb";"823 Abs 2 BGB";""
"C28008 P";1;"c28008p";"C28008 P";""
"nachgehend OLG Duesseldorf 1 Kartellsenat 24 07 2013 VIU Kart 4812";1;"nachgehendolgduesseldorf1kartellsenat24072013viukart4812";"nachgehend OLG Duesseldorf 1 Kartellsenat 24 07 2013 VIU Kart 4812";""
