"LG_Stuttgart_41_O_100-13_KfH";"freq";"simple";"manuel";"comment"
"1 EnWG";1;"1enwg";"1 EnWG";""
"111 Abs 1 S 1 EnWG";1;"111abs1s1enwg";"111 Abs 1 S 1 EnWG";""
"111 EnWG";2;"111enwg";"111 EnWG";""
"13 Abs 3 S 3 ARegV";1;"13abs3s3aregv";"13 Abs 3 S 3 ARegV";""
"142 ZPO";4;"142zpo";"142 ZPO";""
"19 Abs 1 GWB";1;"19abs1gwb";"19 Abs 1 GWB";""
"19 Abs 2 Nr 2 Hs 1 GWB";1;"19abs2nr2hs1gwb";"19 Abs 2 Nr 2 Hs 1 GWB";""
"19 Abs 2 Nr 2 HS 2 GWB";1;"19abs2nr2hs2gwb";"19 Abs 2 Nr 2 HS 2 GWB";""
"19 Abs 4 GWB";1;"19abs4gwb";"19 Abs 4 GWB";""
"19 Abs 4 Nr 2 GWB";2;"19abs4nr2gwb";"19 Abs 4 Nr 2 GWB";""
"19 Abs 4 Nr 2 GWB 26081998";1;"19abs4nr2gwb26081998";"19 Abs 4 Nr 2 GWB 26081998";""
"19 Abs 4 Nr 2 Hs 1 GWB";1;"19abs4nr2hs1gwb";"19 Abs 4 Nr 2 Hs 1 GWB";""
"19 Abs 4 Nr 2 Hs 2 GWB";1;"19abs4nr2hs2gwb";"19 Abs 4 Nr 2 Hs 2 GWB";""
"19 GWB";2;"19gwb";"19 GWB";""
"195 BGB";2;"195bgb";"195 BGB";""
"199 Abs 1 BGB";1;"199abs1bgb";"199 Abs 1 BGB";""
"199 Abs 1 Nr 1 BGB";1;"199abs1nr1bgb";"199 Abs 1 Nr 1 BGB";""
"199 Abs 1 Nr 2 BGB";1;"199abs1nr2bgb";"199 Abs 1 Nr 2 BGB";""
"21 Abs 1 EnWG";4;"21abs1enwg";"21 Abs 1 EnWG";""
"21 Abs 2 EnWG";2;"21abs2enwg";"21 Abs 2 EnWG";""
"21 Abs 2 S2 EnWG";1;"21abs2s2enwg";"21 Abs 2 S2 EnWG";""
"21 Abs 2 Satz 2 EnWG";1;"21abs2satz2enwg";"21 Abs 2 Satz 2 EnWG";""
"21 EnWG";2;"21enwg";"21 EnWG";""
"214 Abs 1 BGB";1;"214abs1bgb";"214 Abs 1 BGB";""
"23 a Abs 2 S 1 EnWG";1;"23aabs2s1enwg";"23 a Abs 2 S 1 EnWG";""
"23 a Abs 5 EnWG";1;"23aabs5enwg";"23 a Abs 5 EnWG";""
"23 a EnWG";1;"23aenwg";"23 a EnWG";""
"23a Abs 2 S 2 EnWG";1;"23aabs2s2enwg";"23a Abs 2 S 2 EnWG";""
"23a Abs 5 S 1 EnWG";1;"23aabs5s1enwg";"23a Abs 5 S 1 EnWG";""
"23a EnWG";1;"23aenwg";"23a EnWG";""
"24 Abs 1 StromNEV";1;"24abs1stromnev";"24 Abs 1 StromNEV";""
"242 BGB";1;"242bgb";"242 BGB";""
"253 Abs 2 Nr 2 ZPO";1;"253abs2nr2zpo";"253 Abs 2 Nr 2 ZPO";""
"27 Abs 2 StromNEV";1;"27abs2stromnev";"27 Abs 2 StromNEV";""
"287 ZPO";3;"287zpo";"287 ZPO";""
"315 Abs 1 BGB";1;"315abs1bgb";"315 Abs 1 BGB";""
"315 Abs 3 BGB";3;"315abs3bgb";"315 Abs 3 BGB";""
"315 Abs 3 S 2 BGB";2;"315abs3s2bgb";"315 Abs 3 S 2 BGB";""
