"";"manuel";"freq"
"1";"13abs2gmbhg";1
"2";"133umwg";2
"3";"167zpo";1
"4";"199bgb";1
"5";"304zpo";1
"6";"31bgb";1
"7";"33abs1und3gwb";1
"8";"33abs1gwbivm33abs3gwb";1
"9";"33abs4gwb";7
"11";"33gwb";1
"12";"690abs1zpo";1
"13";"709zpo";1
"14";"823abs2bgb";3
"15";"823bgb";3
"16";"831bgb";1
"17";"840bgb";1
"18";"91zpo";1
"19";"bghnjw2001305";1
"20";"bghnjw20013622";1
"21";"bghnjw2006163";1
"22";"bghnjw20083498";1
"23";"bghnzg20041107";1
"24";"bghz140156158";1
"25";"c50111p";1
"26";"eugh10092009c9708p";1
"27";"eugh20092001c45399";1
"28";"grur2002367";1
"29";"kzr2108";1
"30";"njw198720082009";1
"31";"njw199031513152";1
"32";"njwrr2010618";1
"33";"olgdu1ks29082018viukart1217";1
"34";"olgdu2zs29082018viukart1117";1
"35";"galle2016article";1
"36";"roth2018commentary";1
"37";"wachs2017article";1
