"";"manuel";"freq"
"1";"1gwb";3
"2";"11abs5aagbg";1
"3";"133abs1umwg";1
"4";"138abs3zpo";2
"6";"199abs3bgb";2
"8";"2014eu104";1
"9";"204abs1bgb";2
"11";"204abs2bgb";1
"12";"217bgb";1
"13";"246bgb";1
"14";"253abs2zpo";1
"15";"253abs1zpo";1
"16";"256abs1zpo";1
"17";"256zpo";1
"18";"286abs2bgb";2
"20";"287zpo";2
"21";"288abs1bgb";1
"22";"288bgb";1
"23";"289bgb";1
"24";"291bgb";1
"25";"298stgb";5
"26";"304abs1zpo";1
"27";"307bgb";2
"28";"307ffbgb";1
"29";"309bgb";2
"30";"309abs5abgb";1
"31";"309abs5bbgb";1
"32";"309abs5bgb";2
"33";"310abs1bgb";1
"34";"33abs1gwbivm33abs3gwb";1
"35";"33abs3gwb";4
"38";"33abs4gwb";8
"39";"33abs5gwb";6
"42";"33gwb";10
"44";"33abs3gwbivm33abs1gwb";1
"47";"353hgb";2
"48";"7o11114";1
"49";"7o20614";1
"50";"823abs2bgb";1
"51";"840bgb";1
"52";"843abs4bgb";1
"53";"849bgb";3
"54";"169abs1egbgb";1
"55";"bgh23052012viizr21711";1
"56";"bghizb10914";1
"57";"bghizr18999";1
"58";"bghizr27700";1
"59";"bghiizr8713";1
"60";"bghnjw20073774";1
"61";"bghnjw20081084";1
"62";"bghnzkart201431";1
"63";"bghviizr1209";1
"64";"bghviizr28694";1
"65";"bghxizr4899";1
"66";"bghz190145";1
"67";"bghz67312319";1
"68";"bghz90278";1
"69";"kgbe2u1003kart";1
"70";"lgbe1612201416o38413kart";1
"71";"lgbe16o38413kart";2
"72";"lgbe608201316o19311kart";1
"73";"lgdo13o5502kart";1
"74";"lgdu14do414";1
"75";"lgha18o25914";2
"76";"lgma040520127o43611";1
"77";"lgma7o43611";1
"78";"lgpo2o2914";1
"79";"njw2006163";1
"80";"nzkart2013195";1
"81";"nzkart2014366";1
"82";"nzkart2016214";2
"83";"nzkart2016422";2
"85";"nzkart201688";1
"86";"olgceibr2012506";1
"87";"olgka6u5112kart";2
"88";"olgmuu500611kart";1
"89";"rg01071889rgz24266";1
"90";"roth2018commentary";2
