"";"manuel";"freq"
"1";"1gwb";1
"2";"101abs1zpo";1
"3";"130abs2gwb";4
"4";"130abs2zpo";1
"5";"131gwb";1
"6";"142abs1zpo";2
"7";"142zpo";2
"8";"17abs1zpo";1
"9";"20abs1gwb";1
"10";"286abs1zpo";3
"11";"286zpo";3
"12";"287abs1zpo";3
"13";"287zpo";1
"14";"33abs1gwb";2
"15";"33abs4gwb";5
"16";"33gwb";3
"17";"398bgb";2
"18";"709zpo";1
"19";"823abs1bgb";1
"20";"823abs2bgb";4
"21";"86abs1vvg";1
"22";"89gwb";1
"23";"gruenwald2016article";1
"24";"40abs1egbgb";2
"26";"40fegbgb";2
"27";"41abs1egbgb";1
"28";"bgh04112003vizr2803";1
"29";"bgh05021998izr21195";1
"30";"bgh10022015vizr34313";1
"31";"bgh12051998kzr2396";1
"32";"bgh15111990izr2289";1
"33";"bgh17021988ivazr27786";1
"34";"bgh18031987ivazr20585";1
"35";"bgh18032004ixzr25500";1
"36";"bgh28062011kzr7510";5
"38";"bgh29051979kvr278";1
"39";"bghks28062011kzr7510";1
"40";"bghz11311";1
"41";"c29504";1
"42";"c29804";1
"43";"eugh14022000c34498";1
"44";"eugh20092001c45399";1
"45";"euzw2006529";1
"46";"euzw201235";1
"47";"stancke2017article";1
"48";"fezer2019commentary";1
"49";"grur1998824827";1
"50";"grur2004883";1
"51";"iprax2017403406";1
"52";"schreiber2016article";1
"53";"lgma040520127o43611";1
"54";"lgma40520127o43611";1
"55";"njw19871944";1
"56";"njw19933073";1
"57";"njw200415211522";1
"58";"njw20101072";1
"59";"njwrr1988789790";1
"60";"njwrr2011692";1
"61";"olgdu14052008viukart1407";1
"62";"olgdu29012014viukart713";1
"63";"olgka280120046u18303";1
"64";"olgsc171220104u17109";1
"65";"brand2017article";1
"66";"galle2016article";1
"67";"lgma7zk40520127o43611kart";1
"68";"verordnungegnr12003";1
"69";"verordnungegnr442001";1
"70";"vizr3309";1
"71";"voegnr8642007";1
"72";"xizr11192";1
"73";"zoeller2013commentary";1
