"";"manuel";"freq"
"1";"1gwb";4
"2";"133abs1umwg";1
"3";"138abs3zpo";3
"4";"156zpo";1
"5";"166bgb";1
"6";"199abs1bgb";3
"8";"199abs2bgb";2
"9";"199abs3bgb";1
"10";"204abs1bgb";1
"11";"204nr1bgb";1
"12";"249abs1bgb";1
"13";"253abs2zpo";1
"14";"254bgb";3
"15";"256zpo";1
"16";"257bgb";1
"17";"287zpo";3
"18";"288bgb";1
"19";"291zpo";1
"20";"296abs1zpo";1
"21";"296zpo";1
"22";"296a";1
"23";"296azpo";1
"24";"298stgb";3
"25";"301abs1zpo";1
"26";"304abs1zpo";2
"27";"33abs1gwbivm33abs3gwb";1
"28";"33abs1gwb";2
"30";"33abs3gwb";2
"32";"33abs4gwb";3
"34";"33abs5gwb";9
"37";"33gwb";4
"38";"618abs3bgb";1
"39";"7o11114";1
"40";"823abs2bgb";2
"41";"840bgb";1
"42";"844abs2";1
"43";"169abs1egbgb";1
"44";"bgh28062011kzr7510";1
"45";"bgh2862011kzr7510";3
"46";"bgh442000xizr4899";1
"47";"bgh6112013kzr5811";1
"48";"bghnjw20061065";1
"49";"bghnjw2013928";1
"50";"euzw2006529";1
"51";"lgbe1612201416o38413kart";1
"52";"olgdu202200922u13508";1
"53";"olgdue1822015viukart314";1
"54";"olgka310720136u5112kart";1
"55";"olgka31720136u5112kart";1
"56";"lgdo8zk280620178o2516kart";1
"57";"zoeller2018commentary";1
