"";"manuel";"freq"
"1";"137abs1zpo";1
"2";"138abs3zpo";1
"3";"18o25914";3
"4";"187abs1bgb";1
"5";"195bgb";1
"6";"199abs1bgb";2
"8";"199abs3bgb";2
"9";"2u1703kart";1
"10";"2u58315kart";6
"11";"2014eu104";1
"12";"204abs1bgb";1
"13";"246bgb";1
"14";"253abs2zpo";1
"15";"256abs1zpo";1
"16";"261abs1zpo";1
"17";"264nr1zpo";1
"18";"264nr2zpo";1
"19";"269zpo";1
"20";"286bgb";1
"21";"287zpo";2
"22";"288abs1bgb";2
"24";"296azpo";1
"25";"308abs1zpo";1
"26";"308zpo";1
"27";"322zpo";2
"28";"33abs1gwb";1
"29";"33abs3gwb";3
"32";"33abs4gwb";2
"33";"33abs5gwb";1
"34";"33gwb";5
"35";"33aabs1gwb";1
"36";"6u18303";1
"37";"709zpo";1
"38";"823abs2bgb";3
"39";"823bgb";2
"40";"849bgb";6
"41";"852bgb";2
"43";"92zpo";1
"44";"bgh07042009kzr4208";1
"45";"bgh12072016kzr2514";1
"46";"bgh14032017vizr22516";1
"47";"bgh1872000xzr6298";1
"48";"bgh19112008viiizr13807";1
"49";"bgh21102014xizb1212";1
"50";"bgh28062011kzr7510";4
"51";"bghgrur1960423";1
"52";"bghgrur199261";1
"53";"bghgrur2001849";1
"54";"bghgrur2012291";1
"55";"bghnjw20003492";2
"56";"bghnjw20081084";1
"57";"bghnjw20122022";1
"58";"bghnjwrr2005216";1
"59";"bghz178362";1
"60";"bghz190145";7
"61";"bghz211146";2
"62";"grur2001849850";2
"63";"izr29500";1
"64";"kgbe011020092u1703kart";5
"65";"kzr2514";1
"66";"kzr3298";1
"67";"kzr4208";1
"68";"lgdo0104200413o5502kart";1
"69";"lgdo211220168o9014kart";4
"70";"lgdo280620178o2516kart";2
"71";"lgha0507201618o40514";8
"73";"lgha3105201618o25914";3
"74";"njw200034923493";1
"75";"njw2006163";1
"76";"njwrr2004639640";1
"77";"njwrr2005216";1
"78";"nzkart2013195";1
"79";"olgdu14052008viukart1407";1
"80";"olgka310720136u5112kart";1
"81";"viiizr12703";1
"82";"vvrvg";3
