"";"manuel";"freq"
"1";"123abs2umwg";1
"2";"131abs1umwg";2
"3";"195bgb";1
"4";"199abs1bgb";1
"5";"24abs1tkg";1
"6";"24abs2tkg";1
"7";"24tkg";1
"8";"25abs1tkg";2
"9";"254bgb";1
"10";"27abs2tkg";1
"11";"27abs3tkg";1
"12";"287zpo";1
"13";"29abs1tkg";1
"14";"30tkg";1
"15";"301zpo";1
"16";"304zpo";1
"17";"31bgb";2
"18";"33abs1gwb";1
"19";"33abs4gwb";11
"20";"33abs5gwb";9
"21";"33gwb";3
"22";"4abs1tentgvivm4abs2tentgv";1
"23";"5abs3tentgv";1
"24";"5tentgv";1
"25";"5gwb";1
"26";"823abs2bgb";6
"27";"831bgb";1
"28";"852bgb";4
"29";"229egbgb";1
"30";"bghnjw20082576";1
"31";"bghz39283";1
"32";"btdrucks153640";1
"33";"c23489";1
"34";"c29504";1
"35";"c34498";1
"36";"entscheidung";1
"37";"njwrr1991599";1
"38";"voegnr12003";1
