"";"manuel";"freq"
"1";"1gwb";1
"2";"156zpo";1
"3";"288abs1bgb";1
"4";"288abs2bgb";1
"5";"288bgb";1
"6";"289bgb";1
"7";"296azpo";1
"8";"305cbgb";1
"9";"305fbgb";1
"10";"307abs1bgb";1
"11";"309abs5abgb";1
"12";"309abs5aivm309abs5bbgb";3
"13";"309abs5bbgb";2
"14";"310abs1bgb";3
"15";"310bgb";1
"16";"33abs1gwbivm33abs3gwb";1
"17";"33abs3gwb";2
"19";"33abs4gwb";4
"20";"709zpo";1
"21";"8nr2volb";4
"22";"81abs6gwb";1
"23";"89abs1gwb";1
"24";"92abs2zpo";1
"25";"bghnjw19842941";1
"26";"bghnjw19961209";2
"27";"bghnjw20101872";1
"28";"bghst38186194";1
"29";"bghz22109113";1
"30";"bghz33216218";1
"31";"kart";1
"32";"roth2018commentary";2
"34";"lgdu14dzk1911201514do414";1
"35";"thomas2015article";1
