"";"manuel";"freq"
"1";"1düg";1
"2";"1gwb";4
"3";"133abs1umwg";1
"4";"199abs1bgb";1
"5";"199abs3bgb";1
"6";"253abs2zpo";1
"7";"254bgb";1
"8";"286zpo";1
"9";"287zpo";1
"10";"288abs1bgb";1
"11";"301zpo";1
"12";"304abs1zpo";1
"13";"304zpo";1
"14";"33abs1gwb";8
"16";"33abs3gwb";4
"17";"33abs4gwb";1
"18";"33abs5gwb";4
"20";"4gwb";2
"21";"425zpo";1
"22";"840abs1bgb";1
"23";"lesinska2016article";1
"24";"bgh28062005az:krb205";1
"25";"bghorwi28062011az:kzr7510";1
"26";"bghorwi28062011kzr7510";2
"27";"kgbe01102009az:2u1703kart";2
"28";"lgdu19112015az:14do414";1
"29";"lgha05072016az:18o40514";1
"30";"olgmuks8032018u349716kart";1
"31";"olgmu22022008az:10u445507";1
"32";"bellinghausen2018article";1
"33";"zoeller2016article";1
