"";"manuel";"freq"
"1";"1enwg";1
"2";"111abs1enwg";1
"3";"111enwg";2
"4";"13abs3aregv";1
"5";"142zpo";4
"6";"19abs1gwb";1
"7";"19abs2gwb";2
"9";"19abs4gwb";6
"14";"19gwb";2
"15";"195bgb";2
"16";"199abs1bgb";3
"19";"21abs1enwg";4
"20";"21abs2enwg";4
"23";"21enwg";2
"24";"214abs1bgb";1
"25";"23aabs2enwg";2
"26";"23aabs5enwg";2
"27";"23aenwg";2
"31";"24abs1stromnev";1
"32";"242bgb";1
"33";"253abs2zpo";1
"34";"27abs2stromnev";1
"35";"287zpo";3
"36";"315abs1bgb";1
"37";"315abs3bgb";7
"40";"315bgb";5
"41";"32abs2stromnev";1
"42";"32abs3enwg";1
"43";"32abs3enwgivm32abs4enwg";1
"44";"32enwg";1
"45";"33abs3gwb";5
"47";"33gwb";4
"49";"45abs1gkg";1
"50";"6abs1enwg";1
"51";"709zpo";1
"52";"812abs1bgb";1
"53";"823abs2bgb";4
"54";"852bgb";3
"56";"91zpo";1
"57";"b89411";1
"58";"bgh06051997az:kvr996";1
"59";"bgh06102015az:enzr5014";1
"60";"bgh07062016envr6214";1
"61";"bgh08032016enzr5014";1
"62";"bgh14082008kvr3907";1
"63";"bgh15052012az:kvr5111";1
"64";"bgh16121976az:kvr276";1
"65";"bgh18102005kzr3604";1
"66";"bgh19052005izr29902";1
"67";"bgh20072010enzr2309";2
"68";"bgh21101986az:kvr785";1
"69";"bgh22072014kzr1313";1
"70";"bgh22072014kzr2713";3
"71";"bgh22071999az:kvr1298";1
"73";"bgh28062005azkvr1704";1
"74";"bgh28062005az:kvr1704";1
"75";"bgh28062011kzr7510";1
"76";"bgh30032011kzr6910";1
"77";"bgh5022003viiizr11102";1
"78";"bghz1545";1
"79";"bghz163119130";1
"80";"bghz163282";1
"81";"bghz164336";2
"82";"bghz5942";1
"83";"bghz6823";1
"84";"bghz76140";1
"85";"bghz76142";1
"86";"bverfge747895";1
"87";"enzr3210";1
"88";"eugh03121987rs13686";1
"89";"eugh13072006az:c29504";1
"90";"eugh20092001az:c45399";1
"91";"kzr1313";1
"92";"kzr3604";1
"93";"kzr7010";1
"94";"njw20012531";1
"95";"olgdu13082014vi2ukart213";2
"96";"olgdu18032010vi2ukart506";1
"97";"olgdunzkart2015202";1
"98";"olgmu17112005az:uk332596";1
"99";"rde201263";1
"100";"verordnungegnr12003";1
"101";"zip20101959";2
