courtname,decisiondate,permalink,datum,datum,spruchkoerper,gerichtsort,gerichtstyp,aktenzeichen
LG Berlin Kammer für Handelssachen,06.08.2013,,06.08.2013,06.08.2013,Kammer für Handelssachen,Berlin,LG,16 O 193/11 Kart
LG Dortmund 25. Zivilkammer,24.04.2012,,24.04.2012,24.04.2012,25. Zivilkammer,Dortmund,LG,25 O 5/11
LG Dortmund 8. Zivilkammer,04.10.2017,,04.10.2017,04.10.2017,8. Zivilkammer,Dortmund,LG,8 O 24/16 (Kart)
LG Dortmund 8. Zivilkammer,28.06.2017,,28.06.2017,28.06.2017,8. Zivilkammer,Dortmund,LG,8 O 89/14 (Kart)
LG Dortmund 8. Zivilkammer,21.12.2016,,21.12.2016,21.12.2016,8. Zivilkammer,Dortmund,LG,8 O 90/14 (Kart)
LG Dortmund 8. Zivilkammer,21.12.2016,,21.12.2016,21.12.2016,8. Zivilkammer,Dortmund,LG,8 O 93/14 Kart
LG Düsseldorf 14d. Zivilkammer,19.11.2015,,19.11.2015,19.11.2015,14d. Zivilkammer,Düsseldorf,LG,14d O 4/14
LG Frankfurt 6. Zivilkammer,30.03.2016,,30.03.2016,30.03.2016,6. Zivilkammer,Frankfurt,LG,2-06 O 358/14
LG Frankfurt 6. Zivilkammer,30.03.2016,,30.03.2016,30.03.2016,6. Zivilkammer,Frankfurt,LG,2-06 O 464/14
LG Hamburg 15. Zivilkammer,01.09.2017,,01.09.2017,01.09.2017,15. Zivilkammer,Hamburg,LG,315 O 356/14
LG Hannover 18. Zivilkammer,31.05.2016,,31.05.2016,31.05.2016,18. Zivilkammer,Hannover,LG,18 O 259/14
LG Hannover 18. Zivilkammer,23.10.2017,,23.10.2017,23.10.2017,18. Zivilkammer,Hannover,LG,18 O 332/16
LG Köln 8. Kammer für Handelssachen,17.01.2013,,17.01.2013,17.01.2013,Kammer für Handelssachen,Köln,LG,88 O 1/11
LG Köln 8. Kammer für Handelssachen,17.01.2013,,17.01.2013,17.01.2013,Kammer für Handelssachen,Köln,LG,88 O 5/11
LG Köln 10. Kammer für Handelssachen,09.11.2012,,09.11.2012,09.11.2012,Kammer für Handelssachen,Köln,LG,90 O 1/11
LG Köln 10. Kammer für Handelssachen,15.02.2013,,15.02.2013,15.02.2013,Kammer für Handelssachen,Köln,LG,90 O 57/12
LG Mannheim 7. Zivilkammer,04.05.2012,,04.05.2012,04.05.2012,7. Zivilkammer,Mannheim,LG,7 O 436/11 Kart
LG München I 37. Zivilkammer,27.07.2016,,27.07.2016,27.07.2016,37. Zivilkammer,München,LG,37 O 24526/14
LG Stuttgart 41. Kammer für Handelssachen,11.10.2016,,11.10.2016,11.10.2016,41. Kammer für Handelssachen,Stuttgart,LG,41 O 100/13 KfH
LG Stuttgart 41. Kammer für Handelssachen,31.01.2013,,31.01.2013,31.01.2013,41. Kammer für Handelssachen,Stuttgart,LG,41 O 39/12 KfH
